title,year,author,genres,pages
To Kill a Mockingbird (slipcased edition),2006,Harper Lee,Fiction,323
The Complete C. S. Lewis Signature Classics,2007,C. S. Lewis,Religion,746
The End of Days,2007,Zecharia Sitchin,History,336
The Blue and Brown Books,1965,Ludwig Wittgenstein,Philosophy,208
The Pursuit of Happyness,2009,Chris Gardner,Biography & Autobiography,
What A Lady Wants,2009,Victoria Alexander,Fiction,
A Little Bit Wicked,2009,Victoria Alexander,Fiction,
The Wit and Wisdom of Winston Churchill,2009,James C. Humes,History,
"Sleep, Pale Sister",2009,Joanne Harris,Fiction,
Midnighters #2: Touching Darkness,2009,Scott Westerfeld,,
The Queen of Attolia,2009,Megan Whalen Turner,,
The Collected Poetry of Nikki Giovanni,2009,Nikki Giovanni,Poetry,
Sugarplums and Scandal,2010,"Dana Cameron, Mary Daheim, Lori Avocato, Kerrelyn Sparks, Suzanne Macpherson, Cait London",Fiction,
"How to Buy, Sell, and Profit on eBay",2010,Adam Ginsberg,Business & Economics,
Owning Your Own Shadow,1993,Robert A. Johnson,Self-Help,118
The World's Religions,1991,Huston Smith,History,416
Muhammad,1993,Karen Armstrong,Biography & Autobiography,304
A Manual for Living,1994,Epictetus,Religion,96
The Pilgrimage,1995,"Paulo Coelho, Alan R. Clarke",Fiction,272
The Valkyries,1996,Paulo Coelho,Fiction,212
Rainforest Home Remedies,2001,"Rosita Arvigo, Nadine Epstein",Health & Fitness,221
A Circle of Quiet,1984,Madeleine L'Engle,Religion,246
Bulfinch's Mythology,1991,Richard P. Martin,,768
Romanticism,1979,Hugh Honour,Art,416
Betsy-Tacy,1993,Maud Hart Lovelace,Juvenile Fiction,144
Betsy and Tacy Go Over the Big Hill,1993,Maud Hart Lovelace,Juvenile Fiction,192
Heaven to Betsy,1945,Maud Hart Lovelace,Juvenile Fiction,368
Let the Hurricane Roar,1985,Rose Wilder Lane,,118
The Wish Giver,1986,Bill Brittain,Juvenile Fiction,192
Racso and the Rats of NIMH,1988,Jane Leslie Conly,Juvenile Fiction,288
Child of the Owl,1990,Laurence Yep,Juvenile Fiction,288
"R-T, Margaret, and the Rats of NIMH",1991,Jane Leslie Conly,Juvenile Fiction,272
The Rainbow People,1992,Laurence Yep,Juvenile Fiction,208
Dragon's Gate,1995,Laurence Yep,Juvenile Fiction,352
Betsy's Wedding,1996,Maud Hart Lovelace,Juvenile Fiction,260
Betsy and the Great World,1996,Maud Hart Lovelace,Juvenile Fiction,321
Betsy and Joe,1995,Maud Hart Lovelace,Juvenile Fiction,336
Betsy Was a Junior,1995,Maud Hart Lovelace,Juvenile Fiction,320
Crazy Lady!,1995,Jane Leslie Conly,Juvenile Fiction,192
Strawberry Girl 60th Anniversary Edition,1995,Lois Lenski,Juvenile Fiction,208
Seven Spiders Spinning,1995,Gregory Maguire,Juvenile Fiction,144
American Dragons,1995,Laurence Yep,Juvenile Fiction,256
The Midwife's Apprentice (rpkg),1996,Karen Cushman,Juvenile Fiction,128
Winter on the Farm,1997,Laura Ingalls Wilder,Juvenile Fiction,32
Down to the Bonny Glen,2001,Melissa Wiley,Juvenile Fiction,321
Monster,2001,Walter Dean Myers,Juvenile Fiction,281
Emily of Deep Valley,2000,Maud Hart Lovelace,Juvenile Fiction,304
The Trumpet of the Swan,2000,E. B. White,Juvenile Fiction,252
The Good Liar,2002,Gregory Maguire,Juvenile Fiction,144
Old Town in the Green Groves,2004,"Cynthia Rylant, Jim LaMarche",Juvenile Fiction,176
Howl's Moving Castle,2001,Diana Wynne Jones,Juvenile Fiction,329
Four Stupid Cupids,2001,Gregory Maguire,Juvenile Fiction,224
Charlotte's Web (full color),2001,E. B. White,Juvenile Fiction,184
Little House Friends,1998,"Heather Henson, Laura Ingalls Wilder",Juvenile Fiction,80
Christmas Stories,1998,Laura Ingalls Wilder,Juvenile Fiction,80
Winter Days in the Big Woods,1995,Laura Ingalls Wilder,Juvenile Fiction,32
Christmas in the Big Woods,1997,Laura Ingalls Wilder,Juvenile Fiction,32
A Little House Birthday,1998,Laura Ingalls Wilder,Juvenile Fiction,40
The Deer in the Wood,1999,Laura Ingalls Wilder,Juvenile Fiction,32
A Little Prairie House,1999,Laura Ingalls Wilder,Juvenile Fiction,32
Grizzwold,1984,Syd Hoff,Juvenile Fiction,64
Chester,1986,Syd Hoff,Juvenile Fiction,64
Captain Cat,1994,Syd Hoff,Juvenile Fiction,48
My Little House Crafts Book,1998,Carolyn Strom Collins,Juvenile Nonfiction,64
Pioneer Girl,2000,William Anderson,Juvenile Nonfiction,32
Shade's Children (rack),1998,Garth Nix,Juvenile Fiction,345
All-American Girl,2003,Meg Cabot,Juvenile Fiction,398
Hexwood,2002,Diana Wynne Jones,,464
A Light in the Attic Book and CD,2001,Shel Silverstein,Juvenile Nonfiction,176
The Chronicles of Narnia (adult),2001,C. S. Lewis,Fiction,767
What Would Machiavelli Do?,2002,Stanley Bing,Humor,176
The Sense of Wonder,1998,Rachel Carson,Nature,112
Virgin,1980,James Patterson,Fiction,210
Mission Possible,1999,"Ken Blanchard, Terry Waghorn",Business & Economics,242
Crucial Conversations,2002,"Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler",Business & Economics,240
How to Talk to Anyone : 92 Little Tricks for Big Success in Relationships,2003,Leil Lowndes,Family & Relationships,345
"Easy French Reader, Second Edition",2003,R. de Roussy de Sales,,228
Slim to None,2004,Jennifer Hendricks,Biography & Autobiography,384
Practice Makes Perfect: Italian Verb Tenses,2005,Paola Nanni-Tate,,252
"Goodman & Gilman's The Pharmacological Basis of Therapeutics, Eleventh Edition",2005,"Laurence Brunton, John Lazo, Keith Parker",Medical,
"Incident Response & Computer Forensics, 2nd Ed.",2003,"Kevin Mandia, Chris Prosise",,507
The Last Dance,2005,"Lynne Ann DeSpelder, Albert Lee Strickland",Social Science,664
Heat and Mass Transfer,2006,Yunus A. Çengel,,901
The Complete Works,1964,Tacitus,History,773
My Sweet-orange Tree,1983,José Mauro de Vasconcelos,Juvenile Nonfiction,166
Who Moved My Cheese?,2002,Spencer Johnson,Self-Help,96
How to Have a Beautiful Mind,2004,Edward De Bono,Self-Help,232
The Toy Maker,2004,Anthony McReavy,Biography & Autobiography,352
Darwin's Watch,2006,"Terry Pratchett, Ian Stewart, Jack Sidney Cohen",,344
A Time to Kill,1992,John Grisham,Fiction,515
"'Surely You're Joking, Mr. Feynman!'",1992,"Richard Phillips Feynman, Ralph Leighton",,350
Timequake,1998,Kurt Vonnegut,Fiction,219
Blood and Gold,2002,Anne Rice,Fiction,752
An Imaginary Life,1999,David Malouf,,156
The Great World,1999,David Malouf,,336
The Risk Pool,1998,Richard Russo,,479
Survivor,2000,Chuck Palahniuk,American fiction,289
Bagombo Snuff Box,2000,Kurt Vonnegut,American fiction,295
Ali and Nino,2000,Kurban Said,,237
A Star Called Henry,2000,Roddy Doyle,,342
Set this House on Fire,2001,William Styron,,567
The Confessions of Nat Turner,2004,William Styron,,480
Experience,2001,Martin Amis,,401
Hannibal,2000,Thomas Harris,,564
Operation Shylock,1994,Philip Roth,,400
The First Forty-nine Stories,1993,Ernest Hemingway,Fiction,467
The Professor of Desire,1995,Philip Roth,,272
The Phantom Menace,2000,"Terry Brooks, George Lucas",,255
Traitor,2002,Matthew Woodring Stover,Science fiction,320
Star by Star,2002,Troy Denning,,605
Fury,2002,Salman Rushdie,,272
Yeats is Dead!,2002,Joseph O'Connor,,298
Choke,2002,Chuck Palahniuk,,293
The Dying Animal,2002,Philip Roth,,156
Illusions,2001,Richard Bach,Adventure stories,144
In the Pond,2002,Ha Jin,,160
How to Travel with a Salmon and Other Essays,2001,Umberto Eco,,229
The Trial,2001,Franz Kafka,Fiction,255
Turtle Moon,2002,Alice Hoffman,,275
Atonement,2002,Ian McEwan,,372
A Birthday for Frances,1968,Russell Hoban,,32
The Gangs of New York,2002,Herbert Asbury,,384
The Whore's Child and Other Stories,2003,Richard Russo,,240
In Watermelon Sugar,2002,Richard Brautigan,,144
Blackwood Farm,2003,Anne Rice,,774
The Carpenter's Pencil,2003,Manuel Rivas,,165
Sputnik Sweetheart,2002,Haruki Murakami,,229
"South of the Border, West of the Sun",2003,Haruki Murakami,,190
The Elephant Vanishes,2003,Haruki Murakami,,327
Dance Dance Dance,2003,Haruki Murakami,,393
The Rings of Saturn,2002,Winfried Georg Sebald,,304
Elephant,2003,Raymond Carver,,124
"Will You Please be Quiet, Please",2003,Raymond Carver,,181
The Time of Our Singing,2004,Richard Powers,,631
The Spook's Apprentice,2005,Joseph Delaney,,325
Human Traces,2006,Sebastian Faulks,,793
Blood Canticle,2004,Anne Rice,,400
Underground,2003,Haruki Murakami,,309
Open House,2003,Elizabeth Berg,,314
Like a Charm,2004,Karin Slaughter,,384
Bleachers,2004,John Grisham,,229
Earthly Powers,2004,Anthony Burgess,Fiction,649
The Mummy,2004,Anne Rice,,480
Lasher,2004,Anne Rice,,883
Survivor's Quest,2005,Timothy Zahn,,480
Women Who Love Too Much,2004,Robin Norwood,,314
The Talisman Ring,2005,Georgette Heyer,,268
The Convenient Marriage,2005,Georgette Heyer,Fiction,272
Lady of Quality,2005,Georgette Heyer,Fiction,267
A Very Long Engagement,2004,Sébastien Japrisot,,320
False Colours,2005,Georgette Heyer,,303
Sprig Muslin,2005,Georgette Heyer,,268
Catch-22,1994,Joseph Heller,Fiction,519
The Quiet American,2004,Graham Greene,,180
The Heart of the Matter,2004,Graham Greene,Fiction,272
The End of the Affair,2004,Graham Greene,,160
Enduring Love,2004,Ian McEwan,,245
For Whom the Bell Tolls,2005,Ernest Hemingway,,490
Skipping Christmas,2004,John Grisham,,198
All Quiet on the Western Front,2005,Erich Maria Remarque,,216
Watermelon,2005,Marian Keyes,Fiction,520
The Invisible Writing,2005,Arthur Koestler,,528
Dublin 4,2006,Maeve Binchy,,256
Circle of Friends,2006,Maeve Binchy,,722
"Victoria Line, Central Line",2006,Maeve Binchy,,432
Firefly Summer,2006,Maeve Binchy,,928
Airframe,1997,Michael Crichton,Adventure stories,431
Midnight's Children,1995,Salman Rushdie,,647
Sabbath's Theater,1996,Philip Roth,American fiction,451
Civilwarland in Bad Decline,1997,George Saunders,,179
Six Memos for the Next Millennium,1996,Italo Calvino,,128
Total Recall,1990,Piers Anthony,Fiction,224
London Fields,1999,Martin Amis,,526
"Cry, the Beloved Country",2002,Alan Paton,,240
American Pastoral,1998,Philip Roth,,432
Deception,1991,Philip Roth,,208
A Farewell to Arms,1994,Ernest Hemingway,,293
Cross Stitch,1992,Diana Gabaldon,,864
Ratner's Star,1976,Don DeLillo,,448
Things Fall Apart,2000,"Chinua Achebe, Sandra Widner",,113
C++ Programmer's Notebook,2002,"James Edward Keogh, John Shapley Gray",,528
Java,2005,Walter J. Savitch,,1060
Leadership in Organizations,2006,Gary A. Yukl,Business & Economics,542
Organized Crime,2007,"Michael D. Lyman, Gary W. Potter",,496
World Studies: Eastern Hemisphere,2004,"Heidi Hayes Jacobs, Pearson Prentice Hall, Kate Kinsella, Michal L. LeVasseur",Juvenile Nonfiction,892
Astronomy,2006,"Eric Chaisson, Stephen McMillan",,499
The African-American Odyssey,2005,"Darlene Clark Hine, William C. Hine, Stanley Harrold",History,464
The Visual Arts,2005,"Hugh Honour, John Fleming",Art,936
Three Genres,2006,Stephen Minot,Language Arts & Disciplines,476
Data Structures and Abstractions with Java,2007,Frank M. Carrano,,998
Social Psychology,2007,"Elliot Aronson, Timothy D. Wilson, Robin M. Akert",Psychology,633
Big Money,1973,Pelham G. Wodehouse,Fiction,288
Kiss Kiss,1962,Roald Dahl,Fiction,231
The Nice and the Good,1978,Iris Murdoch,Fiction,362
Switch Bitch,1976,Roald Dahl,Fiction,140
The Pearl,1987,John Steinbeck,,181
My Uncle Oswald,1980,Roald Dahl,Fiction,208
Wodehouse on crime,1981,,,557
Water Music,1981,T. Coraghessan Boyle,Fiction,437
Roald Dahl's Book of Ghost Stories,1985,Roald Dahl,,249
"I, Claudius and Claudius the God",1986,Robert Graves,,839
The New York Trilogy,1987,Paul Auster,,203
The Pigeon,1989,Patrick Süskind,,77
You Bright and Risen Angels,1988,William T. Vollmann,Fiction,635
Moon Palace,1989,Paul Auster,Fiction,320
The Job,1989,William S. Burroughs,Biography & Autobiography,224
Americana,1989,Don DeLillo,Fiction,377
Q E D,1990,Richard Phillips Feynman,,158
Love's Executioner,1991,Irvin D. Yalom,,270
East is East,1991,T. Coraghessan Boyle,Fiction,384
Ways of Seeing,1972,"John Berger, Sven Blomberg, Chris Fox, Michael Dibb, Richard Hollis",Art,176
Montaillou,1990,Emmanuel Le Roy Ladurie,,400
L'usage de plaisirs,1992,Michel Foucault,,304
Case Histories I,1990,Sigmund Freud,,331
The Big Rock Candy Mountain,1943,Wallace Stegner,Fiction,563
The Spectator Bird,1976,"Wallace Earle Stegner, Wallace Stegner",Fiction,214
Sailor Song,1993,Ken Kesey,Fiction,533
The Best of Young British Novelists,1993,Bill Buford,Fiction,320
Liar's Poker,1990,Michael M. Lewis,Biography & Autobiography,256
The Anglo-Saxons,1991,James Campbell,History,272
Journal of a Novel,1969,John Steinbeck,Literary Criticism,182
We Were the Rats,1991,Lawson Glassop,,275
The Portable James Joyce,1985,James Joyce,,762
The Portable Dorothy Parker,1976,Dorothy Parker,,610
Mao II,1992,Don DeLillo,Fiction,254
ALEXANDRIA QUARTET,1991,LAWRENCE DURRELL,,884
Justine,1991,Lawrence Durrell,Fiction,253
Clea,1991,Lawrence Durrell,Fiction,288
The Music of Chance,1991,Paul Auster,Fiction,217
Libra,1991,Don DeLillo,Fiction,480
The Assault,1995,"Reinaldo Arenas, Andrew Hurley",Fiction,176
One Hundred Years of Solitude,1996,"Gabriel García Márquez, Gregory Rabassa",,422
Chickenhawk - Back in the World,1994,Robert Mason,Biography & Autobiography,400
Beyond the Hundredth Meridian,1992,Wallace Stegner,Biography & Autobiography,438
Ludwig Wittgenstein,1991,Ray Monk,Biography & Autobiography,654
Of Mice and Men,1993,John Steinbeck,Fiction,107
Leviathan,1993,Paul Auster,Fiction,275
The Roses of No Man's Land,1993,Lyn MacDonald,History,320
Essays,1993,Michel de Montaigne,,416
Untouchable,1940,Mulk Anand,Fiction,160
The Third Man and the Fallen Idol,1977,Graham Greene,Fiction,157
Collected Short Stories,1986,Graham Greene,Fiction,368
J R,1993,William Gaddis,Fiction,752
North of South,1996,Shiva Naipaul,Social Science,352
The Monkey's Wrench,1995,Primo Levi,Fiction,192
Six Characters in Search of an Author and Other Plays,1995,Luigi Pirandello,Drama,224
Humboldt's Gift,1996,Saul Bellow,Fiction,487
The Crucible,1995,Arthur Miller,Drama,176
Species of Spaces and Other Pieces,1997,Georges Perec,,292
The Act of Creation,1964,Arthur Koestler,Philosophy,752
The Ghost in the Machine,1990,Arthur Koestler,Philosophy,400
"I Ching, Or, Book of Changes",1989,"Richard Wilhelm, Cary F. Baynes",,739
I Ching,1991,John Blofeld,"Body, Mind & Spirit",240
Holy Madness,1992,Georg Feuerstein,Religion,320
The Beloved,1997,"Kahlil Gibran, John Walbridge",Fiction,102
Who are You?,2000,Malcolm Godwin,"Body, Mind & Spirit",224
Harvesting the Heart,1995,Jodi Picoult,Fiction,453
Whores for Gloria,1994,William T. Vollmann,Fiction,160
"Selected letters, 1940-1956",1996,"Jack Kerouac, Ann Charters",Biography & Autobiography,656
Regeneration,1997,Pat Barker,Fiction,256
"Raise High the Roof Beam, Carpenters and Seymour",1994,Jerome David Salinger,American fiction,134
For Esmé - with Love and Squalor,1994,Jerome David Salinger,Fiction,149
The Tortilla Curtain,1996,T. Coraghessan Boyle,Fiction,355
How the Mind Works,1999,Steven Pinker,Philosophy,660
The Crucible,1996,Arthur Miller,Drama,484
Death of a Salesman,1967,Gerald Clifford Weales,Drama,448
Dubliners,1996,"James Joyce, Robert Scholes, A. Walton Litz",Fiction,492
The Coming Plague,1995,Laurie Garrett,Medical,750
The Making of Pride and Prejudice,1995,"Sue Birtwistle, Susie Conklin",Performing Arts,128
The Barrytown Trilogy,1995,Roddy Doyle,Fiction,633
Under the Sea Wind,1996,Rachel Carson,Fiction,320
Anaïs Nin,1996,Deirdre Bair,Biography & Autobiography,672
The Nuclear Age,1996,Tim O'Brien,Fiction,320
The Van,1997,Roddy Doyle,Fiction,320
Palimpsest,1996,Gore Vidal,BIOGRAPHY & AUTOBIOGRAPHY,448
Existentialists and Mystics,1999,Iris Murdoch,Philosophy,576
Solomon's Song,2000,Bryce Courtenay,,671
Rachel's Holiday,1997,Marian Keyes,Fiction,626
Wide Sargasso Sea,1998,Jean Rhys,,160
Cod,1998,Mark Kurlansky,History,294
Age of Iron,1998,J. M. Coetzee,Fiction,198
White Teeth,2001,Zadie Smith,Fiction,542
The Autograph Man,2003,Zadie Smith,Fiction,420
Jemima J.,1998,Jane Green,Fiction,450
Difficult Conversations,2000,"Douglas Stone, Bruce Patton, Sheila Heen",Psychology,250
One Hundred Years of Solitude,1998,"Gabriel García Márquez, Gregory Rabassa",,422
My Year of Meats,1999,Ruth L. Ozeki,Fiction,366
The Farming of Bones,1999,Edwidge Danticat,Fiction,312
The World of Mr. Mulliner,1999,Pelham Grenville Wodehouse,,624
Lord of the Flies,1999,William Golding,Fiction,182
Waiting for the Barbarians,1980,J. M. Coetzee,Fiction,152
The Metamorphosis and Other Stories,2000,"Franz Kafka, Malcolm Pasley",Fiction,216
The Inimitable Jeeves,1999,Pelham Grenville Wodehouse,Fiction,240
Shadows and Wind,1998,Robert Templer,History,400
Wanderlust,2001,Rebecca Solnit,Social Science,326
The Deep End of the Ocean,1999,Jacquelyn Mitchard,Fiction,464
The Spell,2000,Alan Hollinghurst,Fiction,272
Collected Fictions,1998,"Jorge Luis Borges, Andrew Hurley",Fiction,565
Hunger,2000,Lan Samantha Chang,Fiction,192
For Lust of Knowing,2007,Robert Irwin,Art,304
Fever Pitch,2000,Nick Hornby,,239
Spellbound,2003,Jane Green,Fiction,439
A Year in Provence,2000,Peter Mayle,Biography & Autobiography,210
"Selected Letters, 1957-1969",2000,"Jack Kerouac, Ann Charters",Biography & Autobiography,656
The Periodic Table,2001,"Primo Levi, Raymond Rosenthal",,194
Pleasing Myself,2002,Frank Kermode,,278
The Basque History of the World,1999,Mark Kurlansky,History,400
Vinyl Cafe Unplugged,2001,Stuart McLean,,272
World's End,1988,T. Coraghessan Boyle,Fiction,480
Descent of Man,1987,T. Coraghessan Boyle,Fiction,240
Budding Prospects,1990,T. Coraghessan Boyle,Fiction,326
Little Plum,1987,Rumer Godden,Juvenile Fiction,144
Pippi Goes on Board,1977,"Astrid Lindgren, Louis S. Glanzman",Juvenile Fiction,140
Charlie and the Great Glass Elevator,1986,Roald Dahl,Adventure stories,160
Fairy Tales,1987,"Terry Jones, Michael Foreman",Children's stories,160
Strange Attractors,1991,William Sleator,Juvenile Fiction,176
How Do You Lose Those Ninth-Grade Blues?,1993,Barthe DeClements,,144
Seventeen & In-Between,1993,Barthe DeClements,,176
The Puffin Book of Nonsense Verse,1996,Quentin Blake,Juvenile Nonfiction,287
Five Children and it,1996,Edith Nesbit,Juvenile Fiction,237
The Enchanted Castle,2004,E. Nesbit,Juvenile Fiction,291
Bound for Oregon,1996,Jean Van Leeuwen,Juvenile Fiction,176
"That was Then, this is Now",2008,S. E. Hinton,Juvenile Fiction,159
The Complete Poems,1977,William Blake,Literary Criticism,1072
The Canterbury Tales,2003,Geoffrey Chaucer,Poetry,504
Three Gothic Novels,1968,"Horace Walpole, William Beckford, Mary Shelley",Fiction,505
De Profundis and Other Writings,1973,Oscar Wilde,Fiction,252
Redburn,1976,Herman Melville,Fiction,448
The Birth of Tragedy,1993,Friedrich Nietzsche,Literary Criticism,160
The Pursuit of the Well-beloved and the Well-beloved,2007,Thomas Hardy,Fiction,416
The Law and the Lady,1998,Wilkie Collins,Fiction,383
Martin Chuzzlewit,1999,Charles Dickens,Fiction,830
Selected Writings,1998,"Saint Thomas (Aquinas), Ralph McInerny, Ralph M. McInerny",,841
Ivanhoe,2000,Walter Scott,Fiction,544
Three Men in a Boat,1999,Jerome Klapka Jerome,Fiction,400
A Journal of the Plague Year,2003,Daniel Defoe,Fiction,289
