title,year,author,genres,pages
The Annotated Charlotte's Web,2006,E. B. White,Juvenile Nonfiction,320
Charlotte's Web: Wilbur Finds a Friend,2006,Jennifer Frantz,Juvenile Fiction,32
The Autumn of the Patriarch,2006,Gabriel Garcia Marquez,Fiction,255
How to Make Money Like a Porn Star,2006,"Neil Strauss, Bernard Chang",Comics & Graphic Novels,128
Little House in the Big Woods,2007,Laura Ingalls Wilder,Juvenile Fiction,198
Farmer Boy,2006,Laura Ingalls Wilder,Juvenile Fiction,357
The Long Winter,2007,Laura Ingalls Wilder,Juvenile Fiction,422
Little Town on the Prairie,2007,Laura Ingalls Wilder,Juvenile Fiction,374
The First Four Years,2007,Laura Ingalls Wilder,Juvenile Fiction,126
The Alchemist - Gift Edition,2006,Paulo Coelho,Fiction,192
Pretty Things,2006,Liz Goldwyn,Biography & Autobiography,304
Eaters of the Dead,2006,Michael Crichton,Fiction,304
Genome,2006,Matt Ridley,Science,344
The Zero,2006,Jess Walter,Fiction,336
Kitchen Confidential Updated Ed,2007,Anthony Bourdain,Biography & Autobiography,312
DREAM & THE UNDERWOR,1979,James Hillman,Psychology,256
The Crying of Lot 49,1966,Thomas Pynchon,Fiction,152
An American Childhood,1988,Annie Dillard,Biography & Autobiography,255
Teaching a Stone to Talk,1988,Annie Dillard,Literary Criticism,177
Holy the Firm,1988,Annie Dillard,Literary Criticism,76
Think on These Things,1989,Jiddu Krishnamurti,Religion,258
The Dance of Intimacy,1990,Harriet Lerner,Psychology,255
Tell My Horse,1990,Zora Neale Hurston,Fiction,311
Jonah's Gourd Vine,1990,Zora Neale Hurston,Fiction,229
The Chaneysville Incident,1990,David Bradley,History,448
The Writing Life,1990,Annie Dillard,Literary Criticism,113
The Lost Continent,1990,Bill Bryson,Travel,299
Three by Annie Dillard,1990,Annie Dillard,Fiction,617
Declarations of Independence,1991,Howard Zinn,Political science,341
The Complete Stories,1996,Zora Neale Hurston,Fiction,336
"Legends, Lies & Cherished Myths of World History",1994,Richard Shenkman,History,320
The Infinite Plan,1994,Isabel Allende,Fiction,384
Soul Mates,1994,Thomas Moore,Psychology,288
"Cathedral, Forge and Waterwheel",1995,Joseph Gies,History,368
The Throne of the Third Heaven of the Nations Millennium General Assembly,1996,Denis Johnson,Poetry,240
Success Stories,1996,Russell Banks,Fiction,192
Testaments Betrayed,1996,Milan Kundera,,288
Mr. Ives' Christmas,1996,Oscar Hijuelos,Fiction,256
Slowness,1997,Milan Kundera,Fiction,156
As Nature Made Him,2001,John Colapinto,Medical,320
The Active Side of Infinity,1999,Carlos Castaneda,"Body, Mind & Spirit",288
Brave New World,1998,Aldous Huxley,Fiction,288
